"What is Boolean algebra?","Mathematical system using true/false values"
"What are Boolean values?","True or False"
"What is a logic gate?","Electronic device performing Boolean operation"
"What is an AND gate?","Outputs true if both inputs are true"
"What is an OR gate?","Outputs true if at least one input is true"
"What is a NOT gate?","Reverses input"
"What is a NAND gate?","NOT AND"
"What is a NOR gate?","NOT OR"
"What is an XOR gate?","True if inputs differ"
"What is XNOR gate?","True if inputs same"
"What is a truth table?","Table showing outputs for inputs"
"What is Boolean expression?","Logical statement"
"What is De Morgan’s Law?","Rules for simplifying logic"
"What is double negation?","NOT NOT = original"
"What is distributive law?","A(B+C)=AB+AC"
"What is associative law?","(A+B)+C=A+(B+C)"
"What is commutative law?","A+B=B+A"
"What is identity law?","A+0=A"
"What is null law?","A+1=1"
"What is idempotent law?","A+A=A"
"What is absorption law?","A+AB=A"
"What is Karnaugh map?","Simplifies Boolean expressions"
"What is SOP?","Sum of products"
"What is POS?","Product of sums"
"What is simplification?","Reducing expression"
"What is logic circuit?","Combination of gates"
"What is gate delay?","Time for signal"
"What is propagation delay?","Total delay"
"What is combinational logic?","No memory"
"What is sequential logic?","Has memory"
"What is Boolean simplification goal?","Reduce gates"
"What is circuit optimisation?","Improve efficiency"
"What is NAND universal gate?","Can build any circuit"
"What is NOR universal gate?","Can build any circuit"
"What is half adder?","Adds 2 bits"
"What is full adder?","Adds 3 bits"
"What is binary addition circuit?","Uses logic gates"
"What is flip-flop?","Stores 1 bit"
"What is latch?","Basic memory unit"
"What is register?","Group of flip-flops"
"What is clock signal?","Synchronises circuit"
"What is edge-triggered?","Responds to signal change"
"What is logic level?","Voltage representing binary"
"What is Boolean exam focus?","Truth tables + simplification"
"What is AND truth table output?","1 only when both inputs are 1"
"What is OR truth table output?","1 when any input is 1"
"What is NOT truth table output?","Reverses input"
"What is NAND truth table?","Opposite of AND"
"What is NOR truth table?","Opposite of OR"
"What is XOR truth table?","1 when inputs differ"
"What is XNOR truth table?","1 when inputs same"
"What is universal gate?","Gate that can form any circuit"
"What are universal gates?","NAND and NOR"
"What is NAND-only circuit?","Using only NAND gates"
"What is NOR-only circuit?","Using only NOR gates"
"What is Boolean simplification goal?","Reduce number of gates"
"What is logic optimisation?","Improving efficiency"
"What is gate count?","Number of gates used"
"What is circuit complexity?","Difficulty of circuit"
"What is fan-in?","Number of inputs to gate"
"What is fan-out?","Number of outputs from gate"
"What is hazard?","Temporary incorrect output"
"What is glitch?","Short error signal"
"What is propagation delay impact?","Affects speed"
"What is logic simulation?","Testing circuit virtually"
"What is Boolean substitution?","Replacing variables"
"What is Boolean equivalence?","Expressions giving same output"
"What is canonical form?","Standard Boolean form"
"What is minterm notation?","m0, m1 etc"
"What is maxterm notation?","M0, M1 etc"
"What is binary mapping?","Mapping truth table to K-map"
"What is simplification step?","Group largest blocks"
"What is K-map rule?","Groups in powers of 2"
"What is K-map overlap?","Allowed grouping"
"What is K-map wrapping?","Edges connect"
"What is redundant term?","Unnecessary expression"
"What is essential prime implicant?","Must include term"
"What is prime implicant?","Group covering 1s"
"What is Boolean reduction?","Simplifying expression"
"What is algebraic simplification?","Using laws"
"What is graphical simplification?","Using K-map"
"What is circuit implementation?","Building physical circuit"
"What is logic design?","Planning circuits"
"What is input combination?","All possible inputs"
"What is output prediction?","Expected result"
"What is Boolean evaluation?","Calculating output"
"What is AND truth table output?","1 only when both inputs are 1"
"What is OR truth table output?","1 when any input is 1"
"What is NOT truth table output?","Reverses input"
"What is NAND truth table?","Opposite of AND"
"What is NOR truth table?","Opposite of OR"
"What is XOR truth table?","1 when inputs differ"
"What is XNOR truth table?","1 when inputs same"
"What is universal gate?","Gate that can form any circuit"
"What are universal gates?","NAND and NOR"
"What is NAND-only circuit?","Using only NAND gates"
"What is NOR-only circuit?","Using only NOR gates"
"What is Boolean simplification goal?","Reduce number of gates"
"What is logic optimisation?","Improving efficiency"
"What is gate count?","Number of gates used"
"What is circuit complexity?","Difficulty of circuit"
"What is fan-in?","Number of inputs to gate"
"What is fan-out?","Number of outputs from gate"
"What is hazard?","Temporary incorrect output"
"What is glitch?","Short error signal"
"What is propagation delay impact?","Affects speed"
"What is logic simulation?","Testing circuit virtually"
"What is Boolean substitution?","Replacing variables"
"What is Boolean equivalence?","Expressions giving same output"
"What is canonical form?","Standard Boolean form"
"What is minterm notation?","m0, m1 etc"
"What is maxterm notation?","M0, M1 etc"
"What is binary mapping?","Mapping truth table to K-map"
"What is simplification step?","Group largest blocks"
"What is K-map rule?","Groups in powers of 2"
"What is K-map overlap?","Allowed grouping"
"What is K-map wrapping?","Edges connect"
"What is redundant term?","Unnecessary expression"
"What is essential prime implicant?","Must include term"
"What is prime implicant?","Group covering 1s"
"What is Boolean reduction?","Simplifying expression"
"What is algebraic simplification?","Using laws"
"What is graphical simplification?","Using K-map"
"What is circuit implementation?","Building physical circuit"
"What is logic design?","Planning circuits"
"What is input combination?","All possible inputs"
"What is output prediction?","Expected result"
"What is Boolean evaluation?","Calculating output"
"What is Boolean real-world use?","Digital circuits"
"What is logic circuit use?","Computers and electronics"
"What is CPU use of logic?","Processing data"
"What is memory use of logic?","Storing bits"
"What is ALU use of logic?","Arithmetic operations"
"What is control unit use?","Decision making"
"What is digital system?","Uses binary logic"
"What is analogue vs digital?","Continuous vs discrete"
"What is logic importance?","Foundation of computing"
"What is Boolean exam skill?","Simplification and circuits"
"What is K-map exam skill?","Grouping and simplification"
"What is truth table exam skill?","Completing tables"
"What is circuit exam skill?","Drawing gates"
"What is Boolean error?","Incorrect logic"
"What is simplification error?","Wrong grouping"
"What is verification step?","Check outputs"
"What is testing importance?","Ensures accuracy"
"What is optimisation importance?","Efficient circuits"
"What is logic design goal?","Correct efficient circuit"
"What is Boolean final goal?","Simplify and implement logic"
