"Define functional programming","A programming paradigm based on mathematical functions and immutability"
"What is a pure function?","A function that always returns the same output for the same input and has no side effects"
"What is a side effect?","A change in state outside the function such as modifying a global variable"
"What is immutability?","Data cannot be changed after creation"
"What is referential transparency?","An expression can be replaced with its value without changing behaviour"
"What is a higher-order function?","A function that takes or returns another function"
"What is a first-class function?","Functions can be treated as values"
"What is a lambda function?","An anonymous function with no name"
"What is recursion?","A function calling itself"
"What is a base case?","The stopping condition in recursion"
"What is a recursive case?","The part where the function calls itself"
"What is tail recursion?","A recursive call that is the final operation"
"What is map?","Applies a function to each item in a list"
"What is filter?","Selects items based on a condition"
"What is reduce?","Combines list values into one value"
"What is function composition?","Combining multiple functions into one"
"What is currying?","Breaking a function into a series of functions"
"What is lazy evaluation?","Values are only calculated when needed"
"What is eager evaluation?","Values are calculated immediately"
"What is declarative programming?","Describes what should be done"
"What is imperative programming?","Describes how to do it"
"What is a closure?","A function with access to its original environment"
"What is lexical scope?","Scope determined by code position"
"What is global scope?","Accessible throughout the program"
"What is local scope?","Accessible only within a function"
"What is recursion depth?","Number of nested calls"
"What is stack overflow?","Too many recursive calls exceed memory"
"What is list processing?","Working with collections of data"
"What is a tuple?","An ordered immutable collection"
"What is a list?","An ordered collection of elements"
"What is head of a list?","The first element"
"What is tail of a list?","All elements except the first"
"What is fold?","Another name for reduce"
"What is function pipeline?","Passing output of one function to another"
"What is deterministic function?","Always produces same output"
"What is non-deterministic function?","May produce different outputs"
"What is statelessness?","No stored data between calls"
"What is state?","Stored information in a program"
"What is state change?","Modification of stored data"
"What is functional abstraction?","Simplifying complex operations using functions"
"What is modularity?","Breaking program into smaller parts"
"What is code reuse?","Using functions repeatedly"
"What is functional testability?","Ease of testing functions"
"What is recursion vs iteration?","Self-calling vs loops"
"What is pattern matching?","Matching values to patterns"
"What is algebraic data type?","Custom structured data types"
"What is pure expression?","An expression without side effects"
"What is referential transparency benefit?","Simplifies reasoning and debugging"
"What is immutability benefit?","Prevents accidental changes"

"What is map example?","Applying square function to a list"
"What is filter example?","Selecting even numbers"
"What is reduce example?","Summing values"
"What is immutability drawback?","More memory usage"
"What is recursion benefit?","Simplifies complex problems"
"What is recursion drawback?","Can cause stack overflow"
"What is higher-order function benefit?","More flexible code"
"What is lambda benefit?","Concise syntax"
"What is closure benefit?","Maintains state without globals"
"What is lazy evaluation benefit?","Improves efficiency"
"What is eager evaluation drawback?","Wastes resources"
"What is function composition benefit?","Reusable logic"
"What is currying benefit?","Flexible function usage"
"What is pure function benefit?","Predictable output"
"What is side effect example?","Changing a global variable"
"What is functional debugging?","Tracing function outputs"
"What is functional testing?","Testing based on input/output"
"What is functional language example?","Haskell"
"What is multi-paradigm language example?","Python"
"What is functional programming exam focus?","Concepts and definitions"
"What is recursion trace?","Following recursive calls step-by-step"
"What is tail recursion optimisation?","Improves performance"
"What is function chaining?","Linking functions together"
"What is pipeline operator?","Chains function calls"
"What is data flow?","Movement of data through functions"
"What is stateless system benefit?","Easier to debug"
"What is stateless system drawback?","Requires more data passing"
"What is functional concurrency?","Safe parallel execution"
"What is immutability in concurrency?","Prevents data conflicts"
"What is functional parallelism?","Running functions simultaneously"

"What is recursion tree?","Diagram of recursive calls"
"What is divide and conquer?","Breaking problems into smaller parts"
"What is memoisation?","Caching results of functions"
"What is dynamic programming?","Solving subproblems once"
"What is infinite recursion?","No base case leads to endless calls"
"What is termination condition?","Stops recursion"
"What is stack frame?","Memory used per call"
"What is call stack?","Tracks function calls"
"What is time complexity in FP?","Depends on recursion depth"
"What is space complexity in FP?","Stack usage"
"What is persistent data structure?","Maintains previous versions"
"What is functional data structure?","Immutable structure"
"What is function purity check?","Ensuring no side effects"
"What is expression evaluation?","Computing result"
"What is lazy list?","List evaluated when needed"
"What is infinite list?","Generated dynamically"
"What is functional pipeline example?","Filter then map then reduce"
"What is recursion base importance?","Prevents infinite loop"
"What is recursion depth limit?","Limited by stack size"

"What is functional programming real-world use?","Data processing pipelines"
"What is FP in web development?","Used in frameworks like React"
"What is FP in AI?","Used in model building"
"What is FP advantage?","Predictable and testable"
"What is FP disadvantage?","Harder to learn"
"What is FP scalability?","Handles large data well"
"What is FP maintainability?","Easy to update"
"What is FP readability?","Clear logic"
"What is FP error reduction?","Fewer bugs"
"What is FP final goal?","Predictable and efficient programs"
