"What is an operating system?","Software that manages hardware and software resources"
"What are the main functions of an OS?","Memory, process, file and device management"
"What is a kernel?","Core part of the operating system"
"What is process management?","Managing running programs"
"What is a process?","A program in execution"
"What is multitasking?","Running multiple processes at once"
"What is scheduling?","Deciding which process runs"
"What is time slicing?","Allocating CPU time to processes"
"What is context switching?","Switching between processes"
"What is memory management?","Handling RAM usage"
"What is RAM?","Temporary volatile memory"
"What is virtual memory?","Using storage as RAM"
"What is paging?","Dividing memory into pages"
"What is segmentation?","Dividing memory into segments"
"What is fragmentation?","Unused memory gaps"
"What is file management?","Organising files"
"What is file system?","Method for storing files"
"What is FAT?","File Allocation Table"
"What is NTFS?","Advanced file system"
"What is directory?","Folder storing files"
"What is path?","Location of file"
"What is device management?","Controlling hardware devices"
"What is device driver?","Software controlling hardware"
"What is interrupt?","Signal to CPU"
"What is interrupt handler?","Responds to interrupt"
"What is polling?","Checking device status"
"What is buffering?","Temporary data storage"
"What is spooling?","Queueing tasks"
"What is CLI?","Command Line Interface"
"What is GUI?","Graphical User Interface"
"What is user interface?","Interaction with system"
"What is system call?","Request to OS"
"What is booting?","Starting system"
"What is POST?","Power-On Self Test"
"What is BIOS?","Basic Input Output System"
"What is UEFI?","Modern BIOS replacement"
"What is kernel mode?","Full system access"
"What is user mode?","Limited access"
"What is system resource?","CPU, memory, devices"
"What is process state?","Status of process"
"What is ready state?","Waiting for CPU"
"What is running state?","Currently executing"
"What is blocked state?","Waiting for resource"
"What is process control block?","Stores process info"
"What is thread?","Smallest execution unit"
"What is multithreading?","Multiple threads per process"
"What is scheduling algorithm?","Method to allocate CPU"
"What is FIFO scheduling?","First process first"
"What is round robin?","Equal time slices"
"What is priority scheduling?","Based on priority"
"What is starvation?","Process never runs"
"What is deadlock?","Processes stuck waiting"
"What is deadlock prevention?","Avoiding deadlock"
"What is deadlock detection?","Identifying deadlock"
"What is deadlock recovery?","Fixing deadlock"
"What is memory allocation?","Assigning memory"
"What is contiguous allocation?","Continuous memory block"
"What is non-contiguous allocation?","Separate blocks"
"What is page table?","Tracks memory pages"
"What is cache memory?","Fast temporary storage"
"What is swapping?","Moving processes in/out of memory"
"What is thrashing?","Excessive swapping"
"What is file permission?","Access rights"
"What is read permission?","View file"
"What is write permission?","Modify file"
"What is execute permission?","Run file"
"What is file compression?","Reducing size"
"What is file encryption?","Securing data"
"What is disk scheduling?","Managing disk access"
"What is seek time?","Time to find data"
"What is latency (disk)?","Delay before transfer"
"What is file allocation?","Storing file blocks"
"What is journaling file system?","Tracks changes"
"What is OS security?","Protecting system"
"What is authentication?","Verifying user"
"What is authorisation?","Granting access"
"What is access control?","Managing permissions"
"What is user account?","User identity"
"What is superuser?","Admin account"
"What is malware protection?","Preventing threats"
"What is firewall (OS)?","Network protection"
"What is update?","Improving OS"
"What is patch?","Fixing bugs"
"What is OS version?","Release of OS"
"What is compatibility?","Works with hardware/software"
"What is virtualisation?","Running multiple OS on one system"
"What is hypervisor?","Manages virtual machines"
"What is container?","Lightweight virtualisation"
"What is cloud OS?","OS for cloud computing"
"What is distributed OS?","Runs across multiple machines"
"What is embedded OS?","For dedicated devices"
"What is real-time OS?","Immediate response systems"
"What is batch processing?","Processing jobs in groups"
"What is interactive processing?","User-driven processing"
"What is multitasking benefit?","Efficiency"
"What is memory protection?","Preventing access errors"
"What is process isolation?","Separating processes"
"What is OS reliability?","Consistent performance"
"What is OS performance?","Speed and efficiency"
"What is OS scalability?","Handles growth"
"What is OS portability?","Runs on different hardware"
"What is OS usability?","Ease of use"
"What is OS maintenance?","Updates and fixes"
"What is OS optimisation?","Improving performance"
"What is log file?","Records system activity"
"What is system monitoring?","Tracking performance"
"What is resource allocation?","Distributing resources"
"What is power management?","Controlling energy use"
"What is load balancing?","Distributing tasks"
"What is concurrency?","Multiple processes"
"What is synchronisation?","Coordinating processes"
"What is race condition?","Unexpected timing issue"
"What is semaphore?","Controls access"
"What is mutex?","Mutual exclusion"
"What is deadlock example?","Two processes waiting"
"What is OS real-world example?","Windows, Linux, macOS"
"What is Linux?","Open-source OS"
"What is Windows?","Microsoft OS"
"What is macOS?","Apple OS"
"What is Android?","Mobile OS"
"What is iOS?","Apple mobile OS"
"What is OS importance?","Controls system"
"What is OS exam focus?","Functions and memory"
"What is memory management exam?","Virtual memory questions"
"What is scheduling exam?","Algorithm comparison"
"What is file system exam?","Structure and permissions"
"What is OS error?","System failure"
"What is crash?","System stops"
"What is recovery?","Restoring system"
"What is backup?","Saving data"
"What is redundancy?","Backup systems"
"What is failover?","Switch to backup"
"What is OS design goal?","Efficient resource use"
"What is OS final goal?","Manage system effectively"
