"Front","Back"
"What is biology?","The study of living organisms."
"What is a cell?","The basic unit of life."
"What are the main parts of an animal cell?","Nucleus, cytoplasm, cell membrane, mitochondria and ribosomes."
"What are the main parts of a plant cell?","Nucleus, cytoplasm, cell membrane, mitochondria, ribosomes, cell wall, vacuole and chloroplasts."
"What is the function of the nucleus?","Controls cell activities and contains DNA."
"What does the cell membrane do?","Controls what enters and leaves the cell."
"What is the function of cytoplasm?","Where most chemical reactions happen."
"What is the function of mitochondria?","Site of aerobic respiration."
"What is the function of ribosomes?","Site of protein synthesis."
"What is the function of chloroplasts?","Absorb light for photosynthesis."
"What is the function of the cell wall?","Supports and strengthens plant cells."
"What is the function of the vacuole?","Contains cell sap and helps keep the cell rigid."
"What is diffusion?","Movement of particles from high concentration to low concentration."
"What factors affect diffusion rate?","Concentration gradient, temperature and surface area."
"What is osmosis?","Movement of water from high to low water concentration through a partially permeable membrane."
"What is active transport?","Movement against a concentration gradient using energy."
"Why do cells need active transport?","To absorb substances when concentration is lower outside the cell."
"What is mitosis?","Cell division that produces two identical cells."
"Why is mitosis important?","Growth, repair and asexual reproduction."
"What is differentiation?","When a cell becomes specialised for a job."
"When does most differentiation happen?","In early stages of an organism’s life."
"What is a stem cell?","An unspecialised cell that can develop into different cell types."
"Where are stem cells found?","Embryos and adult bone marrow."
"What is a tissue?","A group of similar cells working together."
"What is an organ?","A group of different tissues working together."
"What is an organ system?","A group of organs working together."
"What is the circulatory system?","A system that transports substances in the blood."
"What is the function of the heart?","Pumps blood around the body."
"What are arteries?","Blood vessels that carry blood away from the heart."
"What are veins?","Blood vessels that carry blood towards the heart."
"What are capillaries?","Tiny vessels where exchange of substances happens."
"What is blood plasma?","Liquid that carries cells and dissolved substances."
"What do red blood cells do?","Carry oxygen using haemoglobin."
"How are red blood cells adapted?","Biconcave shape and no nucleus for more haemoglobin."
"What do white blood cells do?","Defend the body against pathogens."
"What do platelets do?","Help blood clot to stop bleeding."
"What is a pathogen?","A microorganism that causes disease."
"What types of pathogens are there?","Bacteria, viruses, fungi and protists."
"What is a communicable disease?","A disease that can be spread between organisms."
"How can pathogens spread?","By air, water, direct contact or vectors."
"What is a vector?","An organism that carries a pathogen between hosts."
"What is a vaccine?","A substance that stimulates the immune system to produce antibodies."
"What is immunity?","The ability to resist a disease."
"What are antibiotics used for?","Killing bacteria or stopping them reproducing."
"Why don’t antibiotics work on viruses?","Viruses live inside cells and are not bacteria."
"What is antibiotic resistance?","When bacteria survive antibiotics and pass on resistant genes."
"What is a non-communicable disease?","A disease that cannot be spread between people."
"Name examples of non-communicable disease.","Heart disease, cancer and type 2 diabetes."
"What is an enzyme?","A biological catalyst."
"Why are enzymes important?","They control reaction rates in living things."
"What does denature mean?","An enzyme changes shape and stops working."
"What factors affect enzyme activity?","Temperature, pH and substrate concentration."
"What is the optimum temperature?","The temperature where the enzyme works fastest."
"What is digestion?","Breaking down large insoluble molecules into small soluble ones."
"What is the role of the stomach?","Produces acid and protease enzymes."
"What is the role of the small intestine?","Completes digestion and absorbs nutrients."
"How is the small intestine adapted for absorption?","Large surface area with villi and good blood supply."
"What is aerobic respiration?","Respiration that uses oxygen to release energy."
"What is the word equation for aerobic respiration?","Glucose plus oxygen produces carbon dioxide and water."
"What is anaerobic respiration in animals?","Respiration without oxygen producing lactic acid."
"What is anaerobic respiration in plants and yeast?","Glucose produces ethanol and carbon dioxide."
"What is photosynthesis?","Process plants use to make glucose using light."
"What is the word equation for photosynthesis?","Carbon dioxide plus water produces glucose and oxygen."
"What does chlorophyll do?","Absorbs light energy."
"What factors affect photosynthesis?","Light intensity, carbon dioxide concentration and temperature."
"What is a limiting factor?","The factor that stops the rate increasing further."
"What is a food chain?","A diagram showing feeding relationships."
"What is a producer?","An organism that makes its own food by photosynthesis."
"What is a consumer?","An organism that eats plants or animals."
"What is a decomposer?","An organism that breaks down dead material."
"What is a food web?","Many interconnected food chains."
"What is an ecosystem?","All the organisms and the environment in an area."
"What is biodiversity?","The variety of different species in an ecosystem."
"Why is biodiversity important?","It helps ecosystems stay stable and resilient."
"What is deforestation?","Large scale removal of trees."
"How does deforestation reduce biodiversity?","It destroys habitats."
"What is global warming?","Increase in Earth’s average temperature."
"What is a greenhouse gas?","A gas that traps heat, such as carbon dioxide or methane."
"How do greenhouse gases cause warming?","They absorb and re-emit infrared radiation."
"What is the water cycle?","Movement of water between sea, air and land."
"What is evaporation?","Liquid water becomes water vapour."
"What is condensation?","Water vapour becomes liquid droplets."
"What is precipitation?","Water falling as rain, snow or hail."
"What is transpiration?","Water vapour released from plant leaves."
"What is decay?","Breakdown of dead organisms by microorganisms."
"What conditions speed up decay?","Warm temperatures, oxygen and moisture."
"What is homeostasis?","Maintaining stable internal conditions."
"Why is homeostasis important?","Enzymes and cells work best in stable conditions."
"What is a stimulus?","A change in the environment."
"What is a response?","A reaction to a stimulus."
"What is the nervous system?","System that detects stimuli and coordinates responses."
"What is a reflex action?","A rapid automatic response to a stimulus."
"Why are reflexes important?","They protect the body from harm."
"What is a hormone?","A chemical messenger carried in the blood."
"What is the endocrine system?","A system of glands that produce hormones."
"What is gene?","A section of DNA that codes for a protein."
"What is a chromosome?","A long coiled DNA molecule found in the nucleus."
"What is variation?","Differences between individuals of the same species."
"What causes variation?","Genetic differences and environmental factors."
"What is natural selection?","Better adapted organisms survive and reproduce more."
"What is evolution?","Change in species over time due to natural selection."
"GCSE Biology exam tip","Learn key definitions and practise applying them to questions."
