"Define normative ethics.","The study of ethical theories that provide rules or principles for moral action."
"What is a deontological theory?","An ethical theory based on duty and rules."
"What is a teleological theory?","An ethical theory based on consequences."
"What is virtue ethics?","An ethical theory based on character and virtues."
"Who developed Natural Law?","Thomas Aquinas."
"What is Natural Law based on?","Aristotle’s idea of purpose (telos)."
"What is telos?","The purpose or goal of something."
"What are the primary precepts?","Preserve life, reproduce, educate offspring, live in society, worship God."
"What are secondary precepts?","Practical rules derived from primary precepts."
"What are the four tiers of law?","Eternal, Divine, Natural, and Human law."
"What is the Doctrine of Double Effect?","An action with both good and bad effects may be permitted if the intention is good."
"What is a strength of Natural Law?","Provides clear, universal moral rules."
"What is a weakness of Natural Law?","It relies on fixed human nature."
"Who developed Situation Ethics?","Joseph Fletcher."
"What is Situation Ethics based on?","Agape (selfless love)."
"What are the four working principles?","Pragmatism, relativism, positivism, personalism."
"What are the six fundamental principles?","Only love is intrinsically good; love is the ruling norm; love and justice are the same; love wills the neighbour’s good; only the end justifies the means; decisions are situational."
"What type of theory is Situation Ethics?","Teleological and relativist."
"What is agape?","Selfless, unconditional love."
"What is a strength of Situation Ethics?","Flexible and compassionate."
"What is a weakness of Situation Ethics?","Too subjective and unpredictable."
"Who developed Kantian ethics?","Immanuel Kant."
"What is the Categorical Imperative?","A universal moral law based on reason."
"What is the first formulation?","Act only according to maxims you can will to be universal laws."
"What is the second formulation?","Treat humanity always as an end, never merely as a means."
"What type of theory is Kantian ethics?","Deontological and absolutist."
"What is good will?","Acting from duty according to moral law."
"What is autonomy?","Self-governing moral decision-making."
"What is heteronomy?","Being influenced by external factors."
"What is a strength of Kantian ethics?","Protects human dignity."
"What is a weakness of Kantian ethics?","It can ignore consequences."
"Who developed Utilitarianism?","Jeremy Bentham."
"What is the principle of utility?","The greatest happiness for the greatest number."
"What is hedonic calculus?","Bentham’s method for measuring pleasure and pain."
"Who developed rule utilitarianism?","John Stuart Mill."
"What is rule utilitarianism?","Following rules that maximise happiness."
"What is act utilitarianism?","Judging each act by its consequences."
"What is a strength of Utilitarianism?","Flexible and outcome-focused."
"What is a weakness of Utilitarianism?","Can justify injustice to minorities."
"What is virtue ethics based on?","Aristotle’s philosophy."
"What is eudaimonia?","Human flourishing."
"What is a virtue?","A moral excellence or character trait."
"What is the golden mean?","Virtue lies between excess and deficiency."
"What is practical wisdom (phronesis)?","The ability to apply virtues wisely."
"What is a strength of virtue ethics?","Focuses on moral character."
"What is a weakness of virtue ethics?","Lacks clear action-guidance."
"What is ethical egoism?","The view that self-interest determines morality."
"What is meta-ethics?","The study of the meaning of moral language."
"What is emotivism?","The idea that moral statements express emotions."
"What is prescriptivism?","The idea that moral statements give commands."
"What is the difference between absolutism and relativism?","Absolutism claims universal truths; relativism depends on context."

